2025-02-18 at 21:31:16 | INFO | Bot is  starting...
2025-02-18 at 21:34:45 | INFO | Bot is  starting...
2025-02-18 at 21:36:18 | INFO | Bot is  starting...
2025-02-18 at 21:36:18 | INFO | Adding multiple entries TimeSlot. Quantity: 10
2025-02-18 at 21:37:03 | INFO | Bot is  starting...
2025-02-18 at 21:37:59 | INFO | Bot is  starting...
2025-02-18 at 21:37:59 | INFO | Adding multiple entries Table. Quantity: 10
2025-02-18 at 21:37:59 | INFO | 10 entries successfully added
2025-02-18 at 21:37:59 | INFO | Adding multiple entries TimeSlot. Quantity: 8
2025-02-18 at 21:37:59 | INFO | 8 entries successfully added
2025-02-18 at 21:38:03 | INFO | Бот успешно запущен.
2025-02-18 at 21:38:49 | INFO | Bot is  starting...
2025-02-18 at 21:38:49 | INFO | Adding multiple entries Table. Quantity: 10
2025-02-18 at 21:38:49 | INFO | 10 entries successfully added
2025-02-18 at 21:38:49 | INFO | Adding multiple entries TimeSlot. Quantity: 8
2025-02-18 at 21:38:49 | INFO | 8 entries successfully added
2025-02-18 at 21:38:50 | INFO | Бот успешно запущен.
2025-02-18 at 21:40:53 | INFO | Bot is  starting...
2025-02-18 at 21:40:53 | INFO | Adding multiple entries Table. Quantity: 10
2025-02-18 at 21:40:53 | INFO | 10 entries successfully added
2025-02-18 at 21:40:53 | INFO | Adding multiple entries TimeSlot. Quantity: 8
2025-02-18 at 21:40:53 | INFO | 8 entries successfully added
2025-02-18 at 21:40:54 | INFO | Бот успешно запущен.
2025-02-18 at 21:42:17 | INFO | Bot is  starting...
2025-02-18 at 21:42:17 | INFO | Adding multiple entries Table. Quantity: 10
2025-02-18 at 21:42:17 | INFO | 10 entries successfully added
2025-02-18 at 21:42:17 | INFO | Adding multiple entries TimeSlot. Quantity: 8
2025-02-18 at 21:42:17 | INFO | 8 entries successfully added
2025-02-18 at 21:42:18 | INFO | Бот успешно запущен.
2025-02-18 at 21:42:48 | INFO | Bot is  starting...
2025-02-18 at 21:42:48 | INFO | Adding multiple entries Table. Quantity: 10
2025-02-18 at 21:42:48 | INFO | 10 entries successfully added
2025-02-18 at 21:42:48 | INFO | Adding multiple entries TimeSlot. Quantity: 8
2025-02-18 at 21:42:48 | INFO | 8 entries successfully added
2025-02-18 at 21:42:49 | INFO | Бот успешно запущен.
2025-02-19 at 16:21:28 | INFO | Bot is  starting...
